power, vel
-0.88, -329.015
-0.88, -331.716
-0.88, -321.867
-0.88, -324.847
-0.88, -337.083
-0.88, -324.097
-0.88, -336.318
-0.88, -330.401
-0.88, -334.714
-0.88, -338.023
-0.88, -324.57
-0.88, -343.068
-0.88, -323.193
-0.88, -342.671
-0.88, -334.336
-0.88, -340.57
-0.88, -336.658
-0.88, -328.691
-0.88, -331.057
-0.88, -329.015
-0.88, -325.879
-0.88, -332.336
-0.88, -322.88
-0.88, -338.109
-0.88, -329.544
-0.88, -343.245
-0.88, -333.96
-0.86, -333.876
-0.86, -346.051
-0.86, -321.13
-0.86, -327.842
-0.86, -328.488
-0.86, -319.285
-0.86, -328.934
-0.86, -323.978
-0.86, -328.367
-0.86, -328.084
-0.86, -316.368
-0.86, -327.198
-0.86, -319.285
-0.86, -326.557
-0.86, -324.373
-0.86, -319.132
-0.86, -326.878
-0.86, -332.502
-0.86, -327.158
-0.86, -321.906
-0.86, -322.763
-0.86, -321.867
-0.86, -320.937
-0.86, -317.423
-0.86, -323.232
-0.86, -323.311
-0.86, -324.412
-0.86, -322.607
-0.86, -326.557
-0.86, -324.136
-0.86, -318.408
-0.86, -321.479
-0.86, -321.634
-0.86, -321.092
-0.86, -323.625
-0.86, -326.437
-0.86, -324.926
-0.86, -320.821
-0.86, -322.334
-0.86, -321.44
-0.86, -316.706
-0.86, -339.227
-0.86, -319.744
-0.86, -326.918
-0.86, -325.6
-0.86, -317.158
-0.86, -327.158
-0.86, -322.607
-0.86, -322.139
-0.86, -328.488
-0.86, -316.894
-0.84, -334.63
-0.84, -324.451
-0.84, -318.446
-0.84, -323.939
-0.84, -315.619
-0.84, -315.806
-0.84, -313.357
-0.84, -318.484
-0.84, -313.836
-0.84, -314.317
-0.84, -304.31
-0.84, -329.462
-0.84, -321.906
-0.84, -310.005
-0.84, -318.674
-0.84, -324.688
-0.84, -311.49
-0.84, -314.428
-0.84, -313.504
-0.84, -310.078
-0.84, -316.556
-0.84, -315.47
-0.84, -309.071
-0.84, -320.051
-0.84, -316.481
-0.84, -304.171
-0.84, -334.211
-0.84, -309.25
-0.84, -310.15
-0.84, -314.837
-0.84, -312.11
-0.84, -320.628
-0.84, -319.744
-0.84, -309.897
-0.84, -305.881
-0.84, -318.218
-0.84, -311.599
-0.84, -304.102
-0.84, -320.436
-0.84, -318.256
-0.84, -316.106
-0.84, -317.234
-0.84, -319.936
-0.84, -318.066
-0.84, -304.414
-0.84, -301.83
-0.84, -312.659
-0.84, -327.802
-0.84, -311.964
-0.84, -309.322
-0.84, -322.49
-0.82, -312.476
-0.82, -313.615
-0.82, -307.255
-0.82, -302.035
-0.82, -319.361
-0.82, -307.716
-0.82, -308.321
-0.82, -302.377
-0.82, -318.674
-0.82, -307.609
-0.82, -306.443
-0.82, -313.099
-0.82, -314.911
-0.82, -302.583
-0.82, -315.806
-0.82, -304.067
-0.82, -303.894
-0.82, -303.998
-0.82, -312.219
-0.82, -307.326
-0.82, -309.861
-0.82, -320.744
-0.82, -308.749
-0.82, -296.263
-0.82, -308.428
-0.82, -304.901
-0.82, -304.692
-0.82, -315.844
-0.82, -319.4
-0.82, -310.294
-0.82, -312.879
-0.82, -305.845
-0.82, -305.951
-0.82, -294.594
-0.82, -312.476
-0.82, -310.692
-0.82, -305.565
-0.82, -316.631
-0.82, -306.831
-0.82, -311.49
-0.82, -306.161
-0.82, -305.916
-0.82, -304.762
-0.82, -304.449
-0.82, -314.911
-0.82, -306.725
-0.82, -303.617
-0.82, -307.716
-0.82, -308.785
