power, vel
-0.88, -321.906
-0.88, -324.294
-0.88, -318.598
-0.88, -321.363
-0.88, -317.574
-0.88, -337.126
-0.88, -326.158
-0.88, -317.083
-0.88, -322.685
-0.88, -327.842
-0.88, -329.462
-0.88, -321.092
-0.88, -326.797
-0.88, -322.061
-0.88, -319.859
-0.88, -343.245
-0.88, -339.703
-0.88, -309.466
-0.88, -321.169
-0.88, -319.132
-0.88, -313.099
-0.88, -321.906
-0.88, -326.357
-0.88, -320.32
-0.88, -330.934
-0.88, -314.465
-0.88, -311.272
-0.88, -328.772
-0.86, -328.853
-0.86, -318.028
-0.86, -324.215
-0.86, -321.556
-0.86, -313.467
-0.86, -317.347
-0.86, -307.184
-0.86, -319.783
-0.86, -327.641
-0.86, -323.428
-0.86, -314.651
-0.86, -317.725
-0.86, -322.334
-0.86, -311.818
-0.86, -328.529
-0.86, -317.423
-0.86, -311.563
-0.86, -316.106
-0.86, -321.053
-0.86, -317.347
-0.86, -305.006
-0.86, -310.873
-0.86, -310.619
-0.86, -318.484
-0.86, -319.094
-0.86, -301.216
-0.86, -308.856
-0.86, -332.793
-0.86, -316.106
-0.86, -309.071
-0.86, -307.149
-0.86, -318.712
-0.86, -319.017
-0.86, -306.796
-0.86, -321.401
-0.86, -332.544
-0.86, -306.337
-0.86, -316.556
-0.86, -317.99
-0.86, -303.237
-0.86, -313.91
-0.86, -313.32
-0.86, -327.963
-0.86, -319.361
-0.86, -317.158
-0.86, -310.945
-0.86, -341.924
-0.86, -326.198
-0.86, -310.475
-0.86, -315.395
-0.86, -318.827
-0.84, -319.056
-0.84, -319.323
-0.84, -319.4
-0.84, -313.43
-0.84, -293.848
-0.84, -294.822
-0.84, -307.823
-0.84, -294.822
-0.84, -312.11
-0.84, -313.541
-0.84, -316.556
-0.84, -316.181
-0.84, -278.765
-0.84, -318.979
-0.84, -304.727
-0.84, -299.491
-0.84, -307.716
-0.84, -309.789
-0.84, -304.171
-0.84, -311.563
-0.84, -308.821
-0.84, -312.879
-0.84, -308
-0.84, -304.032
-0.84, -315.993
-0.84, -306.021
-0.84, -303.341
-0.84, -308.107
-0.84, -311.563
-0.84, -300.741
-0.84, -312.183
-0.84, -304.206
-0.84, -299.222
-0.84, -309.179
-0.84, -297.32
-0.84, -315.918
-0.84, -302.412
-0.84, -301.046
-0.84, -297.188
-0.84, -314.874
-0.84, -316.331
-0.84, -312.037
-0.84, -312.11
-0.84, -301.25
-0.84, -305.495
-0.84, -316.406
-0.84, -291.503
-0.84, -315.134
-0.84, -303.479
-0.84, -306.654
-0.84, -309.681
-0.82, -311.818
-0.82, -282.845
-0.82, -302.583
-0.82, -295.672
-0.82, -307.539
-0.82, -299.323
-0.82, -307.184
-0.82, -304.727
-0.82, -296.857
-0.82, -308.749
-0.82, -294.985
-0.82, -300.266
-0.82, -298.686
-0.82, -309.717
-0.82, -298.352
-0.82, -286.708
-0.82, -300.131
-0.82, -298.118
-0.82, -299.659
-0.82, -299.727
-0.82, -304.727
-0.82, -287.171
-0.82, -299.256
-0.82, -304.275
-0.82, -296.329
-0.82, -294.855
-0.82, -300.098
-0.82, -299.256
-0.82, -294.627
-0.82, -298.519
-0.82, -304.588
-0.82, -298.352
-0.82, -301.284
-0.82, -299.727
-0.82, -297.089
-0.82, -303.099
-0.82, -296.23
-0.82, -298.251
-0.82, -306.619
-0.82, -296.527
-0.82, -303.686
-0.82, -301.591
-0.82, -298.151
-0.82, -290.899
-0.82, -297.619
-0.82, -302.172
-0.82, -303.272
-0.82, -297.852
-0.82, -307.043
-0.82, -304.623
-0.82, -302.377
-0.8, -303.963
-0.8, -307.255
-0.8, -308.036
-0.8, -295.508
-0.8, -280.466
-0.8, -298.418
-0.8, -302.343
-0.8, -290.93
-0.8, -302.172
-0.8, -280.82
-0.8, -285.694
-0.8, -280.377
-0.8, -294.985
-0.8, -300.537
-0.8, -275.596
-0.8, -281.621
-0.8, -282.845
-0.8, -292.045
-0.8, -295.41
-0.8, -313.467
-0.8, -304.623
-0.8, -281.561
-0.8, -295.902
-0.8, -297.287
-0.8, -287.325
-0.8, -288.632
-0.8, -291.216
-0.8, -290.139
-0.8, -302.001
-0.8, -293.686
-0.8, -276.052
-0.8, -282.935
-0.8, -288.133
-0.8, -307.645
-0.8, -280.998
-0.8, -283.628
-0.8, -296.428
-0.8, -303.341
-0.8, -295.77
-0.8, -301.012
-0.8, -291.918
-0.8, -273.392
-0.8, -285.174
-0.8, -290.265
-0.8, -291.407
-0.8, -288.913
-0.8, -306.302
-0.8, -282.905
-0.8, -299.794
-0.8, -290.645
-0.8, -315.619
-0.78, -292.847
-0.78, -299.491
-0.78, -291.153
-0.78, -278.474
-0.78, -275.853
-0.78, -274.292
-0.78, -292.912
-0.78, -280.112
-0.78, -291.121
-0.78, -279.261
-0.78, -274.603
-0.78, -280.613
-0.78, -285.541
-0.78, -287.666
-0.78, -283.477
-0.78, -281.057
-0.78, -278.532
-0.78, -280.348
-0.78, -290.36
-0.78, -277.431
-0.78, -271.416
-0.78, -290.487
-0.78, -298.118
-0.78, -303.963
-0.78, -280.613
-0.78, -282.666
-0.78, -284.293
-0.78, -279.203
-0.78, -280.525
-0.78, -290.708
-0.78, -275.853
-0.78, -285.327
-0.78, -283.386
-0.78, -286.738
-0.78, -290.044
-0.78, -275.454
-0.78, -284.779
-0.78, -293.556
-0.78, -274.886
-0.78, -280.584
-0.78, -290.518
-0.78, -280.171
-0.78, -287.078
-0.78, -280.171
-0.78, -288.133
-0.78, -277.662
-0.78, -283.296
-0.78, -283.356
-0.78, -290.74
-0.78, -275.967
-0.78, -283.236
-0.76, -284.596
-0.76, -281.889
-0.76, -278.416
-0.76, -279.144
-0.76, -278.649
-0.76, -272.331
-0.76, -281.175
-0.76, -275.311
-0.76, -268.546
-0.76, -285.816
-0.76, -272.637
-0.76, -276.11
-0.76, -276.797
-0.76, -272.916
-0.76, -283.086
-0.76, -276.539
-0.76, -274.264
-0.76, -273.841
-0.76, -271.582
-0.76, -276.999
-0.76, -275.596
-0.76, -274.772
-0.76, -282.008
-0.76, -273.028
-0.76, -274.886
-0.76, -274.405
-0.76, -266.72
-0.76, -285.571
-0.76, -277.72
-0.76, -271.638
-0.76, -270.948
-0.76, -273.701
-0.76, -274.377
-0.76, -277.923
-0.76, -287.666
